Player,Runs,Mins,BF,4s,6s,SR,Inns,,Opposition,Ground,Start Date,
YA Abdulla,DNB,-,-,-,-,-,1,,v RR,Cape Town,26 Apr 2009,
(Kings XI Punjab),,,,,,,,,,,,
YA Abdulla,DNB,-,-,-,-,-,1,,v MI,Durban,29 Apr 2009,
(Kings XI Punjab),,,,,,,,,,,,
YA Abdulla,DNB,-,-,-,-,-,2,,v RCB,Durban,1 May 2009,
(Kings XI Punjab),,,,,,,,,,,,
YA Abdulla,DNB,-,-,-,-,-,2,,v KKR,Gqeberha,3 May 2009,
(Kings XI Punjab),,,,,,,,,,,,
YA Abdulla,DNB,-,-,-,-,-,2,,v RR,Durban,5 May 2009,
(Kings XI Punjab),,,,,,,,,,,,
YA Abdulla,DNB,-,-,-,-,-,2,,v CSK,Centurion,7 May 2009,
(Kings XI Punjab),,,,,,,,,,,,
YA Abdulla,0*,-,1,0,0,0.00,1,,v Daredevils,Mohali,13 Mar 2010,
(Kings XI Punjab),,,,,,,,,,,,
YA Abdulla,DNB,-,-,-,-,-,1,,v RCB,Bengaluru,16 Mar 2010,
(Kings XI Punjab),,,,,,,,,,,,
Abdul Basith,1*,2,1,0,0,100.00,2,,v RCB,Bengaluru,23 Apr 2023,
(Rajasthan Royals),,,,,,,,,,,,
Abdul Samad,12*,-,7,1,1,171.42,1,,v DC,Abu Dhabi,29 Sep 2020,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,8*,-,6,0,0,133.33,1,,v CSK,Dubai (DICS),2 Oct 2020,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,20,-,9,1,2,222.22,2,,v MI,Sharjah,4 Oct 2020,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,8,-,7,1,0,114.28,1,,v Kings XI,Dubai (DICS),8 Oct 2020,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,23,-,15,2,1,153.33,2,,v KKR,Abu Dhabi,18 Oct 2020,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,DNB,-,-,-,-,-,2,,v RR,Dubai (DICS),22 Oct 2020,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,7,-,5,1,0,140.00,2,,v Kings XI,Dubai (DICS),24 Oct 2020,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,DNB,-,-,-,-,-,1,,v DC,Dubai (DICS),27 Oct 2020,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,0*,-,0,0,0,-,2,,v RCB,Sharjah,31 Oct 2020,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,DNB,-,-,-,-,-,2,,v MI,Sharjah,3 Nov 2020,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,DNB,-,-,-,-,-,2,,v RCB,Abu Dhabi,6 Nov 2020,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,33,-,16,2,2,206.25,2,,v DC,Abu Dhabi,8 Nov 2020,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,19*,9,8,0,2,237.50,2,,v KKR,Chennai,11 Apr 2021,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,0,6,2,0,0,0.00,2,,v RCB,Chennai,14 Apr 2021,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,7,16,8,1,0,87.50,2,,v MI,Chennai,17 Apr 2021,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,10,12,8,0,1,125.00,2,,v RR,Delhi,2 May 2021,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,28,40,21,2,1,133.33,1,,v DC,Dubai (DICS),22 Sep 2021,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,1,5,2,0,0,50.00,2,,v Punjab Kings,Sharjah,25 Sep 2021,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,DNB,-,-,-,-,-,2,,v RR,Dubai (DICS),27 Sep 2021,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,18,23,14,1,1,128.57,1,,v CSK,Sharjah,30 Sep 2021,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,25,30,18,0,3,138.88,1,,v KKR,Dubai (DICS),3 Oct 2021,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,1,9,3,0,0,33.33,1,,v RCB,Abu Dhabi,6 Oct 2021,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,2,4,3,0,0,66.66,2,,v MI,Abu Dhabi,8 Oct 2021,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,4,8,6,0,0,66.66,2,,v RR,Pune,29 Mar 2022,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,0,2,1,0,0,0.00,2,,v LSG,DY Patil,4 Apr 2022,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,32*,51,32,2,1,100.00,2,,v RR,Hyderabad,2 Apr 2023,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,21*,11,10,1,2,210.00,1,,v LSG,Lucknow,7 Apr 2023,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,9,34,12,1,0,75.00,2,,v MI,Hyderabad,18 Apr 2023,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,28,21,21,1,2,133.33,1,,v DC,Delhi,29 Apr 2023,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,21,34,18,3,0,116.66,2,,v KKR,Hyderabad,4 May 2023,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,17*,17,7,0,2,242.85,2,,v RR,Jaipur,7 May 2023,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,37*,41,25,1,4,148.00,1,,v LSG,Hyderabad,13 May 2023,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,4,5,3,1,0,133.33,2,,v GT,Ahmedabad,15 May 2023,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,DNB,-,-,-,-,-,1,,v RCB,Hyderabad,18 May 2023,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,15,20,11,1,1,136.36,2,,v KKR,Eden Gardens,23 Mar 2024,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,DNB,-,-,-,-,-,1,,v MI,Hyderabad,27 Mar 2024,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,29,28,14,3,1,207.14,1,,v GT,Ahmedabad,31 Mar 2024,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,DNB,-,-,-,-,-,2,,v CSK,Hyderabad,5 Apr 2024,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,25,-,12,5,0,208.33,1,,v Punjab Kings,Mullanpur,9 Apr 2024,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,37*,16,10,4,3,370.00,1,,v RCB,Bengaluru,15 Apr 2024,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,13,12,8,1,1,162.50,1,,v DC,Delhi,20 Apr 2024,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,10,7,6,0,1,166.66,2,,v RCB,Hyderabad,25 Apr 2024,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,19,30,18,1,1,105.55,2,,v CSK,Chennai,28 Apr 2024,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,DNB,-,-,-,-,-,1,,v RR,Hyderabad,2 May 2024,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,3,11,4,0,0,75.00,1,,v MI,Wankhede,6 May 2024,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,DNB,-,-,-,-,-,2,,v LSG,Hyderabad,8 May 2024,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,11*,11,8,0,1,137.50,2,,v Punjab Kings,Hyderabad,19 May 2024,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,16,16,12,0,2,133.33,1,,v KKR,Ahmedabad,21 May 2024,
(Sunrisers Hyderabad),,,,,,,,,,,,
Abdul Samad,0,1,1,0,0,0.00,1,,v RR,Chennai,24 May 2024,
(Sunrisers Hyderabad),,,,,,,,,,,,
